value0, value1, value2, value3, value4, value5, value6, value7
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
-4.69846, -4.69846, -3.83022, -3.83022, -2.5, -2.5, -0.868241, -0.868241
