su 4.98584 (-0.134196,0.000000) (0.189775,0.000000) (-0.134196,0.000000) (0.308476,0.000000) (-0.281205,0.000000) (-0.127771,0.000000) (0.116480,0.000000) (-0.127771,0.000000) (0.116480,0.000000) (0.308476,0.000000) (-0.281205,0.000000) (0.070189,0.000000) (-0.099268,0.000000) (0.070189,0.000000) (0.070208,0.000000) (-0.099282,0.000000) (0.070208,0.000000) (-0.281210,0.000000) (0.308479,0.000000) (0.116480,0.000000) (-0.127780,0.000000) (0.116480,0.000000) (-0.127780,0.000000) (-0.281210,0.000000) (0.308479,0.000000) (-0.134186,0.000000) (0.189773,0.000000) (-0.134186,0.000000)
sd 4.98584 (-0.134186,0.000000) (0.189773,0.000000) (-0.134186,0.000000) (0.308479,0.000000) (-0.281210,0.000000) (-0.127780,0.000000) (0.116480,0.000000) (-0.127780,0.000000) (0.116480,0.000000) (0.308479,0.000000) (-0.281210,0.000000) (0.070208,0.000000) (-0.099282,0.000000) (0.070208,0.000000) (0.070189,0.000000) (-0.099268,0.000000) (0.070189,0.000000) (-0.281205,0.000000) (0.308476,0.000000) (0.116480,0.000000) (-0.127771,0.000000) (0.116480,0.000000) (-0.127771,0.000000) (-0.281205,0.000000) (0.308476,0.000000) (-0.134196,0.000000) (0.189775,0.000000) (-0.134196,0.000000)
su 5.82547 (-0.071465,0.000000) (0.101072,0.000000) (-0.071465,0.000000) (0.202222,0.000000) (-0.263738,0.000000) (-0.083765,0.000000) (0.109242,0.000000) (-0.083765,0.000000) (0.109242,0.000000) (0.202222,0.000000) (-0.263738,0.000000) (0.234937,0.000000) (-0.332248,0.000000) (0.234937,0.000000) (-0.234935,0.000000) (0.332251,0.000000) (-0.234935,0.000000) (0.263723,0.000000) (-0.202215,0.000000) (-0.109240,0.000000) (0.083759,0.000000) (-0.109240,0.000000) (0.083759,0.000000) (0.263723,0.000000) (-0.202215,0.000000) (0.071462,0.000000) (-0.101058,0.000000) (0.071462,0.000000)
sd 5.82547 (-0.071462,0.000000) (0.101058,0.000000) (-0.071462,0.000000) (0.202215,0.000000) (-0.263723,0.000000) (-0.083759,0.000000) (0.109240,0.000000) (-0.083759,0.000000) (0.109240,0.000000) (0.202215,0.000000) (-0.263723,0.000000) (0.234935,0.000000) (-0.332251,0.000000) (0.234935,0.000000) (-0.234937,0.000000) (0.332248,0.000000) (-0.234937,0.000000) (0.263738,0.000000) (-0.202222,0.000000) (-0.109242,0.000000) (0.083765,0.000000) (-0.109242,0.000000) (0.083765,0.000000) (0.263738,0.000000) (-0.202222,0.000000) (0.071465,0.000000) (-0.101072,0.000000) (0.071465,0.000000)
sd 5.93422 (0.223291,0.000000) (0.315774,0.000000) (0.223291,0.000000) (-0.111046,0.000000) (-0.034753,0.000000) (-0.268079,0.000000) (-0.083909,0.000000) (-0.268079,0.000000) (-0.083909,0.000000) (-0.111046,0.000000) (-0.034753,0.000000) (0.170053,0.000000) (0.240493,0.000000) (0.170053,0.000000) (-0.170061,0.000000) (-0.240500,0.000000) (-0.170061,0.000000) (0.034765,0.000000) (0.111035,0.000000) (0.083924,0.000000) (0.268072,0.000000) (0.083924,0.000000) (0.268072,0.000000) (0.034765,0.000000) (0.111035,0.000000) (-0.223289,0.000000) (-0.315786,0.000000) (-0.223289,0.000000)
su 5.93422 (0.223289,0.000000) (0.315786,0.000000) (0.223289,0.000000) (-0.111035,0.000000) (-0.034765,0.000000) (-0.268072,0.000000) (-0.083924,0.000000) (-0.268072,0.000000) (-0.083924,0.000000) (-0.111035,0.000000) (-0.034765,0.000000) (0.170061,0.000000) (0.240500,0.000000) (0.170061,0.000000) (-0.170053,0.000000) (-0.240493,0.000000) (-0.170053,0.000000) (0.034753,0.000000) (0.111046,0.000000) (0.083909,0.000000) (0.268079,0.000000) (0.083909,0.000000) (0.268079,0.000000) (0.034753,0.000000) (0.111046,0.000000) (-0.223291,0.000000) (-0.315774,0.000000) (-0.223291,0.000000)
su 6.45629 (-0.240322,0.000000) (0.000000,0.000000) (0.240322,0.000000) (0.227247,0.000000) (-0.189456,0.000000) (0.227246,0.000000) (-0.189454,0.000000) (-0.227246,0.000000) (0.189454,0.000000) (-0.227247,0.000000) (0.189456,0.000000) (0.131051,0.000000) (0.000000,0.000000) (-0.131051,0.000000) (0.131062,0.000000) (-0.000000,0.000000) (-0.131062,0.000000) (-0.189457,0.000000) (0.227248,0.000000) (-0.189460,0.000000) (0.227249,0.000000) (0.189460,0.000000) (-0.227249,0.000000) (0.189457,0.000000) (-0.227248,0.000000) (-0.240316,0.000000) (-0.000000,0.000000) (0.240316,0.000000)
sd 6.45629 (0.240316,0.000000) (0.000000,0.000000) (-0.240316,0.000000) (-0.227248,0.000000) (0.189457,0.000000) (-0.227249,0.000000) (0.189460,0.000000) (0.227249,0.000000) (-0.189460,0.000000) (0.227248,0.000000) (-0.189457,0.000000) (-0.131062,0.000000) (0.000000,0.000000) (0.131062,0.000000) (-0.131051,0.000000) (-0.000000,0.000000) (0.131051,0.000000) (0.189456,0.000000) (-0.227247,0.000000) (0.189454,0.000000) (-0.227246,0.000000) (-0.189454,0.000000) (0.227246,0.000000) (-0.189456,0.000000) (0.227247,0.000000) (0.240322,0.000000) (-0.000000,0.000000) (-0.240322,0.000000)
su 7.50172 (-0.129455,0.000000) (-0.000000,0.000000) (0.129455,0.000000) (0.147475,0.000000) (-0.206555,0.000000) (0.147474,0.000000) (-0.206554,0.000000) (-0.147474,0.000000) (0.206554,0.000000) (-0.147475,0.000000) (0.206555,0.000000) (0.323138,0.000000) (0.000000,0.000000) (-0.323138,0.000000) (-0.323138,0.000000) (0.000000,0.000000) (0.323138,0.000000) (0.206549,0.000000) (-0.147471,0.000000) (0.206550,0.000000) (-0.147472,0.000000) (-0.206550,0.000000) (0.147472,0.000000) (-0.206549,0.000000) (0.147471,0.000000) (0.129449,0.000000) (-0.000000,0.000000) (-0.129449,0.000000)
sd 7.50172 (0.129449,0.000000) (-0.000000,0.000000) (-0.129449,0.000000) (-0.147471,0.000000) (0.206549,0.000000) (-0.147472,0.000000) (0.206550,0.000000) (0.147472,0.000000) (-0.206550,0.000000) (0.147471,0.000000) (-0.206549,0.000000) (-0.323138,0.000000) (0.000000,0.000000) (0.323138,0.000000) (0.323138,0.000000) (0.000000,0.000000) (-0.323138,0.000000) (-0.206555,0.000000) (0.147475,0.000000) (-0.206554,0.000000) (0.147474,0.000000) (0.206554,0.000000) (-0.147474,0.000000) (0.206555,0.000000) (-0.147475,0.000000) (-0.129455,0.000000) (-0.000000,0.000000) (0.129455,0.000000)
sd 7.53245 (0.180784,0.000000) (0.255665,0.000000) (0.180784,0.000000) (-0.121247,0.000000) (0.096846,0.000000) (-0.292717,0.000000) (0.233809,0.000000) (-0.292717,0.000000) (0.233809,0.000000) (-0.121247,0.000000) (0.096846,0.000000) (-0.100512,0.000000) (-0.142147,0.000000) (-0.100512,0.000000) (-0.100503,0.000000) (-0.142132,0.000000) (-0.100503,0.000000) (0.096844,0.000000) (-0.121248,0.000000) (0.233801,0.000000) (-0.292719,0.000000) (0.233801,0.000000) (-0.292719,0.000000) (0.096845,0.000000) (-0.121248,0.000000) (0.180790,0.000000) (0.255679,0.000000) (0.180790,0.000000)
su 7.53245 (0.180790,0.000000) (0.255679,0.000000) (0.180790,0.000000) (-0.121248,0.000000) (0.096844,0.000000) (-0.292719,0.000000) (0.233801,0.000000) (-0.292719,0.000000) (0.233801,0.000000) (-0.121248,0.000000) (0.096845,0.000000) (-0.100503,0.000000) (-0.142132,0.000000) (-0.100503,0.000000) (-0.100512,0.000000) (-0.142147,0.000000) (-0.100512,0.000000) (0.096846,0.000000) (-0.121247,0.000000) (0.233809,0.000000) (-0.292717,0.000000) (0.233809,0.000000) (-0.292717,0.000000) (0.096846,0.000000) (-0.121247,0.000000) (0.180784,0.000000) (0.255665,0.000000) (0.180784,0.000000)
su 8.64466 (0.098935,0.000000) (0.139916,0.000000) (0.098935,0.000000) (-0.078288,0.000000) (0.112579,0.000000) (-0.189004,0.000000) (0.271789,0.000000) (-0.189004,0.000000) (0.271789,0.000000) (-0.078288,0.000000) (0.112579,0.000000) (-0.225867,0.000000) (-0.319424,0.000000) (-0.225867,0.000000) (0.225867,0.000000) (0.319425,0.000000) (0.225867,0.000000) (-0.112576,0.000000) (0.078286,0.000000) (-0.271785,0.000000) (0.189000,0.000000) (-0.271785,0.000000) (0.189000,0.000000) (-0.112576,0.000000) (0.078286,0.000000) (-0.098930,0.000000) (-0.139907,0.000000) (-0.098930,0.000000)
sd 8.64466 (0.098930,-0.000000) (0.139907,-0.000000) (0.098930,-0.000000) (-0.078286,0.000000) (0.112576,-0.000000) (-0.189000,0.000000) (0.271785,-0.000000) (-0.189000,0.000000) (0.271785,-0.000000) (-0.078286,0.000000) (0.112576,-0.000000) (-0.225867,0.000000) (-0.319425,0.000000) (-0.225867,0.000000) (0.225867,-0.000000) (0.319424,-0.000000) (0.225867,-0.000000) (-0.112579,0.000000) (0.078288,-0.000000) (-0.271789,0.000000) (0.189004,-0.000000) (-0.271789,0.000000) (0.189004,-0.000000) (-0.112579,0.000000) (0.078288,-0.000000) (-0.098935,0.000000) (-0.139916,0.000000) (-0.098935,0.000000)
