value0, value1, value2, value3, value4, value5, value6, value7
-6.91786, -5.82423, -4.23816, -2.63179, 2.63179, 4.23816, 5.82423, 6.91786
-6.96066, -5.86478, -4.27717, -2.67306, 2.67306, 4.27717, 5.86478, 6.96066
-7.00236, -5.90431, -4.31525, -2.7133, 2.7133, 4.31525, 5.90431, 7.00236
-7.04293, -5.94282, -4.35238, -2.75249, 2.75249, 4.35238, 5.94282, 7.04293
-7.08237, -5.98028, -4.38854, -2.79063, 2.79063, 4.38854, 5.98028, 7.08237
-7.12067, -6.01669, -4.42372, -2.8277, 2.8277, 4.42372, 6.01669, 7.12067
-7.15781, -6.05203, -4.45789, -2.86367, 2.86367, 4.45789, 6.05203, 7.15781
-7.1938, -6.08629, -4.49104, -2.89855, 2.89855, 4.49104, 6.08629, 7.1938
-7.2286, -6.11945, -4.52315, -2.93231, 2.93231, 4.52315, 6.11945, 7.2286
-7.26223, -6.15151, -4.55422, -2.96494, 2.96494, 4.55422, 6.15151, 7.26223
-7.29466, -6.18245, -4.58422, -2.99644, 2.99644, 4.58422, 6.18245, 7.29466
-7.3259, -6.21226, -4.61315, -3.02679, 3.02679, 4.61315, 6.21226, 7.3259
-7.35592, -6.24093, -4.64099, -3.05598, 3.05598, 4.64099, 6.24093, 7.35592
-7.38473, -6.26845, -4.66772, -3.08399, 3.08399, 4.66772, 6.26845, 7.38473
-7.41231, -6.29482, -4.69335, -3.11083, 3.11083, 4.69335, 6.29482, 7.41231
-7.43865, -6.32002, -4.71785, -3.13649, 3.13649, 4.71785, 6.32002, 7.43865
-7.46376, -6.34404, -4.74122, -3.16094, 3.16094, 4.74122, 6.34404, 7.46376
-7.48762, -6.36688, -4.76345, -3.18419, 3.18419, 4.76345, 6.36688, 7.48762
-7.51023, -6.38853, -4.78453, -3.20623, 3.20623, 4.78453, 6.38853, 7.51023
-7.53158, -6.40898, -4.80444, -3.22704, 3.22704, 4.80444, 6.40898, 7.53158
-7.55166, -6.42823, -4.82319, -3.24663, 3.24663, 4.82319, 6.42823, 7.55166
-7.57048, -6.44626, -4.84077, -3.26498, 3.26498, 4.84077, 6.44626, 7.57048
-7.58802, -6.46307, -4.85716, -3.2821, 3.2821, 4.85716, 6.46307, 7.58802
-7.60427, -6.47867, -4.87236, -3.29797, 3.29797, 4.87236, 6.47867, 7.60427
-7.61925, -6.49303, -4.88637, -3.31259, 3.31259, 4.88637, 6.49303, 7.61925
-7.63293, -6.50616, -4.89918, -3.32595, 3.32595, 4.89918, 6.50616, 7.63293
-7.64532, -6.51805, -4.91078, -3.33805, 3.33805, 4.91078, 6.51805, 7.64532
-7.65642, -6.5287, -4.92118, -3.34889, 3.34889, 4.92118, 6.5287, 7.65642
-7.66622, -6.53811, -4.93036, -3.35846, 3.35846, 4.93036, 6.53811, 7.66622
-7.67472, -6.54627, -4.93832, -3.36677, 3.36677, 4.93832, 6.54627, 7.67472
-7.68191, -6.55318, -4.94506, -3.3738, 3.3738, 4.94506, 6.55318, 7.68191
-7.6878, -6.55883, -4.95058, -3.37955, 3.37955, 4.95058, 6.55883, 7.6878
-7.69238, -6.56323, -4.95488, -3.38403, 3.38403, 4.95488, 6.56323, 7.69238
-7.69565, -6.56637, -4.95795, -3.38723, 3.38723, 4.95795, 6.56637, 7.69565
-7.69762, -6.56826, -4.95979, -3.38915, 3.38915, 4.95979, 6.56826, 7.69762
-7.69762, -6.56826, -4.95979, -3.38915, 3.38915, 4.95979, 6.56826, 7.69762
-7.69565, -6.56637, -4.95795, -3.38723, 3.38723, 4.95795, 6.56637, 7.69565
-7.69238, -6.56323, -4.95488, -3.38403, 3.38403, 4.95488, 6.56323, 7.69238
